filename,duration,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate_mean,rms_mean,rms_std,tempo,onset_density,detected_key,key_confidence,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_C_mean,chroma_C#_mean,chroma_D_mean,chroma_D#_mean,chroma_E_mean,chroma_F_mean,chroma_F#_mean,chroma_G_mean,chroma_G#_mean,chroma_A_mean,chroma_A#_mean,chroma_B_mean,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,energy_range,brightness_range,avg_phase_duration,phase_duration_std,has_climax,has_breakdown,has_build_up,structural_complexity,energy_progression,brightness_progression,mood_descriptors,primary_mood,mood_confidence,character_tags,primary_character,character_confidence,num_phases,phase_analysis_available
01_221128_0001_TR11.wav,332.8000,1487.1600,1183.6000,2531.1000,2649.5700,0.0230,0.0060,0.0020,161.5000,2.4910,B,0.7400,-535.1837,73.0899,182.6531,38.6778,17.0104,43.2558,7.3276,12.9688,20.3504,20.1812,17.1297,9.7756,3.4677,7.2907,-0.1232,7.1520,-7.7833,8.6976,-5.8595,9.2417,-2.1852,5.8257,-1.0742,5.9471,-2.6288,6.2348,0.6370,0.5370,0.3710,0.3680,0.3010,0.2320,0.2180,0.1960,0.2320,0.2160,0.4860,0.7400,-0.0290,-0.1120,0.1000,0.0770,-0.0060,0.0000,0.1597,6637.2520,20.8000,10.8800,True,False,True,6.0000,0.0000,brightening,"oozy, atmospheric, warm",oozy,0.9170,"analog_synth, acoustic_instrument, granular_synth, wavetable_synth, physical_modeling, sampler, subtractive_synth, additive_synth, modular_synth, organ, piano, brass, pad_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, liquid_texture, gaseous_texture, sandy_texture, plastic_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,16,True
01_221214_0001_TR11.wav,697.2300,1330.3900,779.6800,1947.3400,2174.1400,0.0370,0.0040,0.0020,114.8000,1.5320,C#,0.6240,-584.1758,67.9302,204.0125,36.6891,17.8034,42.7080,-34.4188,25.0482,-16.1194,19.6729,-0.4933,13.9847,-8.0675,10.1952,-13.1285,10.8051,-11.0981,10.4123,-6.5673,8.3684,-5.4723,7.9453,-3.4436,7.4142,-2.5434,7.3489,0.5430,0.6240,0.4160,0.4950,0.3230,0.1960,0.2100,0.2510,0.2070,0.2320,0.3220,0.4350,-0.0630,-0.0640,0.0410,0.0020,0.0340,0.0090,0.0940,2940.6900,25.8200,24.1700,False,False,False,5.0000,0.0000,brightening,"oozy, atmospheric, warm, pulsating, undulating, rippling, pendular, panoramic, rubato, accelerando, eclipse",oozy,0.9170,"analog_synth, acoustic_instrument, granular_synth, wavetable_synth, physical_modeling, sampler, subtractive_synth, additive_synth, modular_synth, string_machine, organ, piano, choir, brass, woodwind, pad_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, liquid_texture, gaseous_texture, wooden_texture, fabric_texture, sandy_texture, waxy_texture, rubbery_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,27,True
01_230103_0001_TR11.wav,474.3600,3268.0500,1628.0000,7465.7700,4704.5900,0.0330,0.0060,0.0040,112.3000,1.8550,G,0.5950,-534.8365,72.4371,95.8180,33.1923,10.2751,21.9260,24.9197,13.8891,21.2169,11.0971,22.5563,10.1813,10.5619,10.2217,6.1814,8.7324,3.0850,10.3203,10.0744,8.0827,-0.0782,8.7992,-4.9809,12.1460,3.0123,8.4290,0.4160,0.4020,0.4010,0.4100,0.3830,0.3850,0.5130,0.5950,0.5850,0.5000,0.4480,0.4210,-0.1430,0.0180,0.0760,0.0100,0.0070,-0.0500,0.1875,5743.2710,13.5500,3.3700,False,False,True,5.0000,0.0000,darkening,"spacey, synthetic, exuberant, ethereal, atmospheric, crystalline, spectral, vaporous, translucent, euphoric, triumphant, expansive, panoramic, accelerando, arctic",synthetic,0.9630,"analog_synth, digital_synth, percussive_instrument, acoustic_instrument, granular_synth, drum_machine, sampler, additive_synth, modular_synth, lead_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, rough_texture, crystalline_texture, organic_texture, gaseous_texture, glassy_texture, sandy_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, multiband_processed",sampler,1.0000,35,True
01_230103_0002_TR11.wav,235.1000,2279.0100,1126.0200,4674.7300,4116.8000,0.0160,0.0030,0.0030,110.0000,1.5950,C,0.8120,-609.7307,81.7242,114.2913,21.5006,11.2509,22.5700,11.0412,10.3675,16.1933,8.7736,19.6878,7.5584,15.5145,5.9470,7.8386,5.5979,4.4417,5.8127,12.2091,7.1323,5.9976,5.1929,3.6446,5.6475,6.5454,5.7043,0.8120,0.7940,0.7740,0.7660,0.7860,0.7810,0.7180,0.7110,0.6880,0.7050,0.7910,0.7690,-0.0380,0.0310,0.0060,-0.1130,0.0360,-0.0310,0.1395,4188.5250,11.7600,2.3900,True,False,False,5.0000,0.0000,brightening,"spacey, synthetic, exuberant, atmospheric, vaporous",synthetic,0.9630,"analog_synth, digital_synth, percussive_instrument, acoustic_instrument, granular_synth, drum_machine, sampler, additive_synth, modular_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, gaseous_texture, sandy_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, multiband_processed",sampler,1.0000,20,True
01_230122_0001_TR11.wav,435.9800,1116.3700,741.9600,1922.2700,2226.6700,0.0170,0.0100,0.0060,95.7000,1.5510,G,0.5870,-507.0403,69.1612,174.4261,32.8787,35.5602,32.9288,16.9920,17.3521,11.0459,10.6565,9.0921,9.2455,4.6874,7.6855,3.0404,5.6401,1.9756,5.6160,2.8295,6.0550,1.5533,6.0302,0.4032,6.3052,-0.2524,5.9762,0.4320,0.4420,0.4640,0.4400,0.4550,0.4710,0.5540,0.5870,0.5070,0.4470,0.4280,0.4380,0.0160,0.0260,0.0370,-0.0020,0.0100,-0.0180,0.1688,5165.6280,15.0300,8.2800,True,False,True,3.0000,0.0000,brightening,"oozy, atmospheric, warm",oozy,0.9170,"analog_synth, acoustic_instrument, granular_synth, physical_modeling, sampler, subtractive_synth, additive_synth, modular_synth, string_machine, organ, piano, woodwind, pad_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, gaseous_texture, sandy_texture, rubbery_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,29,True
01_230127_0001_TR11.wav,650.3200,2124.1200,755.9700,3977.6500,3178.4000,0.0440,0.0050,0.0050,86.1000,1.4320,B,0.7240,-469.7054,49.3794,123.6971,24.4503,0.5191,22.4096,-6.0872,15.1324,12.5538,8.9609,14.5831,9.7756,3.8900,8.1454,-1.0715,7.3930,3.5444,7.4012,7.4147,8.0944,5.0079,7.6299,-2.3328,7.4150,-6.4957,7.8256,0.4860,0.2760,0.2280,0.2650,0.2700,0.3010,0.3280,0.4120,0.4800,0.4600,0.6480,0.7240,-0.0220,-0.0390,0.0260,0.0220,-0.0110,0.0070,0.0531,1486.8330,13.0100,3.9300,False,False,False,2.0000,0.0000,darkening,"spacey, synthetic, pensive, atmospheric, nebulous, vaporous, expansive, panoramic",synthetic,0.9630,"analog_synth, digital_synth, acoustic_instrument, granular_synth, drum_machine, sampler, subtractive_synth, additive_synth, modular_synth, string_machine, piano, pad_synth, lead_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, liquid_texture, gaseous_texture, sandy_texture, ceramic_texture, plastic_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,50,True
01_230211_0001_TR11.wav,459.8600,1556.2400,1245.4200,2160.9900,3257.2600,0.0210,0.0020,0.0020,105.5000,1.7440,C#,0.6460,-621.4202,45.1421,96.0155,32.6476,44.0307,24.5228,23.2015,20.4380,20.1633,12.5139,13.4003,9.1161,5.7764,7.6600,1.4471,7.8619,-1.2715,7.3188,-1.9872,7.2591,-0.3757,6.7675,1.0378,5.6701,0.7494,5.1001,0.4630,0.6460,0.6440,0.5920,0.5060,0.4640,0.4000,0.4260,0.5150,0.5150,0.4160,0.3460,-0.1320,0.0260,0.0970,-0.0840,0.0080,0.0430,0.0189,5556.0890,51.1000,92.7500,False,False,False,2.0000,0.0000,darkening,"synthetic, atmospheric, warm, expansive, panoramic",synthetic,0.9630,"analog_synth, acoustic_instrument, granular_synth, drum_machine, sampler, subtractive_synth, additive_synth, modular_synth, organ, piano, pad_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, liquid_texture, gaseous_texture, sandy_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,9,True
01_230224_0001_TR11.wav,462.0500,2495.7200,1552.7000,4704.5200,4549.0600,0.0230,0.0010,0.0010,123.0000,1.3980,D#,0.6040,-776.3899,60.3795,155.1430,41.5225,51.9544,22.9474,-1.0187,13.4937,-2.8000,15.6447,-3.2332,14.6160,-3.6343,11.9162,-6.4244,10.3650,-7.1845,10.2037,-5.6744,12.3927,-3.1020,13.2287,-2.2024,11.3282,-1.3649,8.9591,0.4160,0.3920,0.4830,0.6040,0.4530,0.2590,0.2770,0.4220,0.4730,0.3420,0.3360,0.4240,-0.0690,0.0130,0.0240,0.1660,0.0090,0.0450,0.0864,7569.6370,14.0000,4.1100,False,False,False,3.0000,0.0000,darkening,"spacey, synthetic, atmospheric, crystalline, vaporous, expansive, panoramic",synthetic,0.9630,"analog_synth, digital_synth, percussive_instrument, acoustic_instrument, granular_synth, drum_machine, sampler, additive_synth, modular_synth, lead_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, gaseous_texture, sandy_texture, ceramic_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,33,True
01_230304_0001_TR11.wav,228.8300,3643.0400,969.0500,7142.6700,4087.5500,0.0710,0.0080,0.0030,147.7000,2.3380,C#,0.6870,-384.8702,104.3625,112.4596,29.9706,-48.4034,17.5484,9.7163,9.7507,7.1064,7.4827,17.7413,6.9016,0.7045,6.3656,3.9503,6.0186,2.1923,6.2123,5.8653,4.8574,2.7161,4.9210,2.5077,4.8395,-2.1697,4.8289,0.5750,0.6870,0.5360,0.5230,0.5460,0.4920,0.4120,0.3360,0.5280,0.3730,0.4160,0.5630,-0.0410,-0.1090,-0.0530,0.1400,0.0580,-0.0240,0.1505,5141.5300,14.3000,4.3100,True,False,True,4.0000,0.0000,brightening,"spacey, synthetic, tense, exuberant, ethereal, atmospheric, euphoric, triumphant, spiraling, accelerating, expansive, dimensional, accelerando",ethereal,0.9170,"analog_synth, digital_synth, mellotron, percussive_instrument, acoustic_instrument, granular_synth, wavetable_synth, drum_machine, sampler, additive_synth, modular_synth, lead_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, rough_texture, organic_texture, gaseous_texture, glassy_texture, sandy_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, multiband_processed",sampler,1.0000,16,True
01_230312_0001_TR11.wav,147.2800,2283.0300,1141.6600,3985.7600,2495.4900,0.0610,0.0070,0.0050,147.7000,2.3970,E,0.5010,-462.6010,91.4987,165.1146,36.4962,-63.2252,24.9264,12.3851,13.7153,10.3827,15.4758,2.7482,8.4890,-7.0458,9.2847,-11.9318,9.8245,-5.3358,8.2363,-6.0643,7.9911,2.2454,7.0880,-5.3534,6.9707,-12.2777,8.4767,0.4340,0.2610,0.4230,0.4300,0.5010,0.4220,0.2890,0.3720,0.4780,0.3850,0.4890,0.4570,-0.0530,0.0980,0.0820,-0.0130,0.0620,-0.0600,0.1164,6888.1250,49.0900,36.2400,True,False,False,3.0000,0.0000,darkening,"spacey, synthetic, exuberant, atmospheric, nebulous, vaporous, translucent, metallic, triumphant, pulsating, oscillating, spiraling, accelerating, expansive, dimensional, accelerando",atmospheric,0.9170,"analog_synth, digital_synth, mellotron, acoustic_instrument, fm_synth, am_synth, granular_synth, wavetable_synth, physical_modeling, drum_machine, sampler, subtractive_synth, additive_synth, modular_synth, piano, brass, pad_synth, lead_synth, arp_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, rough_texture, organic_texture, mechanical_texture, gaseous_texture, metallic_texture, sandy_texture, ceramic_texture, plastic_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, tube_saturated, multiband_processed",wavetable_synth,1.0000,3,True
01_230319_0001_TR11.wav,269.2200,2038.7100,877.5000,3227.5500,3463.5700,0.0370,0.0040,0.0020,123.0000,1.7460,C#,0.6990,-541.4870,79.3989,177.9182,32.6052,-15.8305,18.4501,-1.8830,8.1513,15.6078,9.1609,20.1501,7.3074,9.5063,7.4267,-2.1784,6.8799,4.4043,7.0081,-9.5727,7.3929,3.7980,5.9081,-0.7688,6.6502,4.6896,5.7170,0.5500,0.6990,0.6430,0.5830,0.5110,0.4570,0.3720,0.3430,0.3970,0.4310,0.4590,0.4420,-0.1440,0.0490,-0.1000,-0.1870,0.0650,-0.0040,0.1208,5511.5680,13.4600,3.7000,True,False,True,3.0000,0.0000,brightening,"spacey, synthetic, exuberant, atmospheric, vaporous, expansive, panoramic, accelerando",synthetic,0.9630,"analog_synth, digital_synth, acoustic_instrument, granular_synth, drum_machine, sampler, subtractive_synth, additive_synth, modular_synth, string_machine, piano, pad_synth, lead_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, liquid_texture, gaseous_texture, sandy_texture, ceramic_texture, plastic_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,20,True
01_230413_0001_TR11.wav,576.1800,2388.5600,550.6300,3413.1800,2009.8600,0.0880,0.0090,0.0070,112.3000,1.2950,D,0.7190,-471.7769,95.5266,146.1078,46.9742,-117.9378,19.5856,-39.5934,18.9487,-0.5852,9.4928,-23.5520,10.3105,-27.6633,7.9182,-19.6312,9.5643,-7.7528,8.3621,2.6366,8.2566,5.8018,8.0305,7.9964,6.3973,10.7953,6.7453,0.4130,0.5150,0.7190,0.5590,0.6470,0.5520,0.4770,0.3660,0.3690,0.5060,0.4220,0.3480,0.0930,0.0160,-0.0640,-0.0720,-0.0120,-0.0120,0.1789,6174.3870,14.7700,4.0400,False,False,True,3.0000,0.0000,brightening,"spacey, synthetic, atmospheric, nebulous, fibrous, metallic, mysterious, playful, yearning, rippling, pendular, expansive, panoramic, rubato",atmospheric,0.9170,"analog_synth, digital_synth, mellotron, acoustic_instrument, fm_synth, am_synth, granular_synth, wavetable_synth, physical_modeling, drum_machine, sampler, subtractive_synth, additive_synth, modular_synth, string_machine, piano, choir, brass, woodwind, pad_synth, lead_synth, arp_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, rough_texture, organic_texture, mechanical_texture, gaseous_texture, metallic_texture, fabric_texture, sandy_texture, rubbery_texture, ceramic_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, tube_saturated, multiband_processed",fm_synth,1.0000,39,True
01_230610_0001_TR11.wav,381.4100,2254.2000,1080.7700,4425.0700,3442.5300,0.0400,0.0360,0.0200,112.3000,1.8640,D,0.6280,-322.5432,80.1977,142.3962,30.4779,-2.7416,30.4973,13.1149,15.8683,10.3918,11.3986,11.3069,9.3291,-0.8810,8.8078,-1.4294,9.9122,-1.9527,10.1407,3.1568,9.1719,-0.6120,6.9566,-0.0050,7.4014,4.0549,8.0274,0.4160,0.4690,0.6280,0.4350,0.3700,0.4110,0.4030,0.3490,0.3380,0.3640,0.4280,0.5220,0.0320,-0.0400,-0.0060,-0.0570,-0.0230,-0.0060,0.0842,3279.3470,12.7100,3.1300,False,False,False,2.0000,0.0000,brightening,"organic, synthetic, exuberant, warm, droning, opalescent, granular, fibrous, ceramic, plastic, powdery, triumphant, yearning, undulating, rippling, drifting, expansive, panoramic, rubato, accelerando, fermata, desert",synthetic,0.9630,"analog_synth, digital_synth, percussive_instrument, acoustic_instrument, granular_synth, drum_machine, sampler, additive_synth, modular_synth, piano, lead_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, gaseous_texture, sandy_texture, ceramic_texture, reverbed, delayed, chorused, flanged, phased, distorted, compressed, filtered, pitched, ring_modulated, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,30,True
01_231012_0001_TR11.wav,253.3600,1490.4100,1101.5800,2722.2200,1610.7000,0.0500,0.0280,0.0090,139.7000,2.1230,G,0.6790,-417.2953,78.0841,226.7052,46.9207,-36.4631,31.2140,-23.3441,23.6147,21.6027,14.0806,8.1673,11.8592,-6.5524,12.0971,-10.2778,9.3013,-6.6662,8.0818,-6.4944,9.1262,-6.3319,8.2535,-2.4002,8.2648,-2.7136,7.4335,0.5880,0.4510,0.3550,0.2540,0.3060,0.1950,0.3170,0.6790,0.3280,0.3260,0.1970,0.3200,0.2720,0.3370,0.0760,0.0640,0.0180,0.0360,0.1664,4518.1480,84.4500,103.3700,False,False,False,2.0000,0.0000,darkening,"organic, warm, driving, droning, granular, fibrous, rubbery, gelatinous, powdery, melancholic, nostalgic, serene, mysterious, longing, contemplative, introspective, wistful, pulsating, oscillating, rippling, drifting, decelerating, pendular, intimate, rubato, accelerando, ritardando, fermata, ostinato, glacial",rippling,1.0000,"analog_synth, mellotron, am_synth, granular_synth, wavetable_synth, physical_modeling, sampler, subtractive_synth, additive_synth, modular_synth, string_machine, organ, piano, choir, brass, woodwind, pad_synth, lead_synth, arp_synth, rich_texture, pure_tone, bright_harmonics, warm_harmonics, smooth_texture, rough_texture, organic_texture, liquid_texture, wooden_texture, fabric_texture, waxy_texture, rubbery_texture, plastic_texture, reverbed, delayed, chorused, flanged, phased, compressed, filtered, pitched, bit_crushed, tape_saturated, tube_saturated, multiband_processed",sampler,1.0000,3,True
